Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id
1013,Rio dei Lucernari di Malvicino,settlement,Archaic Period,-600,-500,12.29662159,41.98063065,A,0.2,D,"Tartara 1999, p. 270",589
1014,Monte Cacchio,settlement,Republican Period,-100,-30,12.29479152,41.97853843,A,0.05,D,"Tartara 1999, p. 270",590
1014,Monte Cacchio,settlement,Imperial Period,-30,300,12.29479152,41.97853843,A,0.05,D,"Tartara 1999, p. 270",590
1015,Rio dei Lucernari di Malvicino,settlement,Republican Period,-200,-30,12.29754425,41.97871603,A,0.3,D,"Tartara 1999, p. 270",591
1015,Rio dei Lucernari di Malvicino,settlement,Imperial Period,-30,300,12.29754425,41.97871603,A,0.3,D,"Tartara 1999, p. 270",591
1016,Rio dei Lucernari di Malvicino,settlement,Republican Period,-200,-30,12.2994181,41.97731835,A,0.1,D,"Tartara 1999, p. 271",592
1016,Rio dei Lucernari di Malvicino,settlement,Imperial Period,-30,300,12.2994181,41.97731835,A,0.1,D,"Tartara 1999, p. 271",592
1017,Monti del Sasso,settlement,Republican Period,-200,-30,12.30321303,41.97542944,A,0.2,D,"Tartara 1999, p. 271",594
1017,Monti del Sasso,settlement,Imperial Period,-30,300,12.30321303,41.97542944,A,0.2,D,"Tartara 1999, p. 271",594
1018,Monte Cacchio,settlement,Imperial Period,-30,500,12.29658146,41.97218713,A,0.2,B,"Tartara 1999, p. 272",601
1019,,settlement,Imperial Period,-30,500,12.29648786,41.96833342,A,0.1,B,"Tartara 1999, p. 273",603
1020,Monti del Sasso,settlement,Archaic Period,-600,-500,12.30194937,41.96716939,A,0.1,B,"Tartara 1999, p. 273",604
1021,Monte dell'Arrone,settlement,Republican Period,-100,-30,12.29528673,41.96347524,A,0.1,D,"Tartara 1999, p. 274",608
1021,Monte dell'Arrone,settlement,Imperial Period,-30,100,12.29528673,41.96347524,A,0.1,D,"Tartara 1999, p. 274",608
1022,Monte dell'Arrone,settlement,Republican Period,-200,-30,12.29725564,41.9573989,A,0.1,D,"Tartara 1999, p. 275",615
1022,Monte dell'Arrone,settlement,Imperial Period,-30,100,12.29725564,41.9573989,A,0.1,D,"Tartara 1999, p. 275",615
1023,Monte dell'Arrone,settlement,Imperial Period,-30,100,12.29420214,41.95919415,A,0.1,B,"Tartara 1999, p. 275",616
1024,Monte Tondo,settlement,Archaic Period,-600,-500,12.29250287,41.95158258,A,0.5,B,"Tartara 1999, p. 276",618
1025,Monte Tondo,settlement,Archaic Period,-600,-500,12.29208528,41.94954801,A,0.1,D,"Tartara 1999, p. 276",619
1025,Monte Tondo,settlement,Republican Period,-500,-30,12.29208528,41.94954801,A,0.1,D,"Tartara 1999, p. 276",619
1025,Monte Tondo,settlement,Imperial Period,-30,500,12.29208528,41.94954801,A,0.1,D,"Tartara 1999, p. 276",619
1026,,settlement,Archaic Period,-600,-500,12.29556024,41.93127845,A,0.3,D,"Tartara 1999, p. 276",623
1026,,settlement,Republican Period,-200,-30,12.29556024,41.93127845,A,0.3,D,"Tartara 1999, p. 276",623
1027,Ceccanibbo,settlement,Archaic Period,-600,-500,12.29934249,41.93130012,A,0.1,B,"Tartara 1999, p. 277",624
1028,,settlement,Republican Period,-200,-30,12.2962476,41.92677393,A,0.4,D,"Tartara 1999, p. 279",628
1028,,settlement,Imperial Period,-30,500,12.2962476,41.92677393,A,0.4,D,"Tartara 1999, p. 279",628
1029,Valle dei Ladri,settlement,Archaic Period,-600,-500,12.29149774,41.92578363,A,1.5,D,"Tartara 1999, p. 280",630
1029,Valle dei Ladri,settlement,Republican Period,-100,-30,12.29149774,41.92578363,A,1.5,D,"Tartara 1999, p. 280",630
1029,Valle dei Ladri,settlement,Imperial Period,-30,500,12.29149774,41.92578363,A,1.5,D,"Tartara 1999, p. 280",630
1030,,settlement,Imperial Period,-30,500,12.28661342,41.92842114,A,0.1,B,"Tartara 1999, p. 282",633
1031,Ospedaletto,settlement,Archaic Period,-600,-500,12.28377227,41.92852818,A,0.1,D,"Tartara 1999, p. 283",634
1031,Ospedaletto,settlement,Republican Period,-500,-30,12.28377227,41.92852818,A,0.1,D,"Tartara 1999, p. 283",634
1032,Monte Muletto,settlement,Imperial Period,-30,500,12.28238927,41.92323969,A,0.2,D,"Tartara 1999, p. 283",639
1033,Monte Muletto,settlement,Republican Period,-100,-30,12.2813256,41.92211579,A,0.5,D,"Tartara 1999, p. 285",642
1033,Monte Muletto,settlement,Imperial Period,-30,500,12.2813256,41.92211579,A,0.5,D,"Tartara 1999, p. 285",642
1034,,settlement,Imperial Period,-30,500,12.2761706,41.92228587,A,0.2,B,"Tartara 1999, p. 286",643
1035,,settlement,Archaic Period,-600,-500,12.27430246,41.91877208,A,0.3,D,"Tartara 1999, p. 286",644
1035,,settlement,Republican Period,-100,-30,12.27430246,41.91877208,A,0.3,D,"Tartara 1999, p. 286",644
1035,,settlement,Imperial Period,-30,100,12.27430246,41.91877208,A,0.3,D,"Tartara 1999, p. 286",644
1036,,settlement,Archaic Period,-600,-500,12.27900783,41.91863973,A,0.3,D,"Tartara 1999, p. 287",645
1036,,settlement,Republican Period,-500,-30,12.27900783,41.91863973,A,0.3,D,"Tartara 1999, p. 287",645
1037,,settlement,Republican Period,-100,-30,12.28825485,41.91723667,A,0.4,D,"Tartara 1999, p. 288",649
1037,,settlement,Imperial Period,-30,500,12.28825485,41.91723667,A,0.4,D,"Tartara 1999, p. 288",649
1038,,settlement,Imperial Period,-30,300,12.29243956,41.91813299,A,0.1,D,"Tartara 1999, p. 288",551
1038,,settlement,Republican Period,-200,-30,12.29243956,41.91813299,A,0.1,D,"Tartara 1999, p. 288",651
1039,,settlement,Archaic Period,-600,-500,12.29878272,41.91875535,A,0.2,B,"Tartara 1999, p. 290",655
1049,,settlement,Republican Period,-100,-30,12.3065973,41.91843212,A,0.2,D,"Tartara 1999, p. 291",658
1049,,settlement,Imperial Period,-30,100,12.3065973,41.91843212,A,0.2,D,"Tartara 1999, p. 291",658
1050,,settlement,Republican Period,-200,-30,12.3055794,41.92027652,A,0.4,B,"Tartara 1999, p. 291",659
1051,Riserva Grande,settlement,Archaic Period,-600,-500,12.29999856,41.9248968,A,0.1,D,"Tartara 1999, p. 291",660
1051,Riserva Grande,settlement,Republican Period,-200,-30,12.29999856,41.9248968,A,0.1,D,"Tartara 1999, p. 291",660
1052,,settlement,Archaic Period,-600,-500,12.30086479,41.92928137,A,3,D,"Tartara 1999, p. 291",661
1052,,settlement,Republican Period,-200,-30,12.30086479,41.92928137,A,3,D,"Tartara 1999, p. 291",661
1052,,settlement,Imperial Period,-30,500,12.30086479,41.92928137,A,3,D,"Tartara 1999, p. 291",661
1053,,settlement,Republican Period,-200,-30,12.30560472,41.92738014,A,0.8,D,"Tartara 1999, p. 292",662
1053,,settlement,Imperial Period,-30,500,12.30560472,41.92738014,A,0.8,D,"Tartara 1999, p. 292",662
1054,,settlement,Imperial Period,100,300,12.30795281,41.92939009,A,0.1,B,"Tartara 1999, p. 293",664
1055,Tenuta della Paola,settlement,Imperial Period,-30,500,12.31094307,41.92925858,A,0.7,B,"Tartara 1999, p. 293",666
1056,Tenuta della Paola,settlement,Archaic Period,-600,-500,12.31598447,41.92869208,A,0.3,D,"Tartara 1999, p. 294",667
1056,Tenuta della Paola,settlement,Republican Period,-500,-30,12.31598447,41.92869208,A,0.3,D,"Tartara 1999, p. 294",667
1056,Tenuta della Paola,settlement,Imperial Period,-30,300,12.31598447,41.92869208,A,0.3,D,"Tartara 1999, p. 294",667
1057,Tenuta della Paola,settlement,Archaic Period,-600,-500,12.31450791,41.92559446,A,0.5,D,"Tartara 1999, p. 295",669
1057,Tenuta della Paola,settlement,Imperial Period,-30,500,12.31450791,41.92559446,A,0.5,D,"Tartara 1999, p. 295",669
1058,,settlement,Republican Period,-200,-30,12.3110335,41.91840003,A,0.1,D,"Tartara 1999, p. 296",673
1058,,settlement,Imperial Period,400,500,12.3110335,41.91840003,A,0.1,D,"Tartara 1999, p. 296",673
1059,,settlement,Archaic Period,-600,-500,12.3141821,41.91962855,A,0.1,D,"Tartara 1999, p. 296",675
1059,,settlement,Republican Period,-500,-30,12.3141821,41.91962855,A,0.1,D,"Tartara 1999, p. 296",675
1060,,settlement,Republican Period,-200,-30,12.32105066,41.92082342,A,0.1,D,"Tartara 1999, p. 297",677
1060,,settlement,Imperial Period,-30,300,12.32105066,41.92082342,A,0.1,D,"Tartara 1999, p. 297",677
1061,,settlement,Archaic Period,-600,-500,12.32246695,41.92316282,A,0.4,D,"Tartara 1999, p. 297",678
1061,,settlement,Reublican Period,-500,-30,12.32246695,41.92316282,A,0.4,D,"Tartara 1999, p. 297",678
1061,,settlement,Archaic Period,-30,500,12.32246695,41.92316282,A,0.4,D,"Tartara 1999, p. 297",678
1062,I Casaletti,settlement,Imperial Period,-30,500,12.32257923,41.92581799,A,0.4,B,"Tartara 1999, p. 298",679
1063,,settlement,Archaic Period,-600,-500,12.32539802,41.92935767,A,0.5,B,"Tartara 1999, p. 299",682
1064,Riserva della Paola,settlement,Republican Period,-100,-30,12.32121145,41.92969414,A,0.3,D,"Tartara 1999, p. 299",683
1064,Riserva della Paola,settlement,Imperial Period,-30,100,12.32121145,41.92969414,A,0.3,D,"Tartara 1999, p. 299",683
1065,,settlement,Archaic Period,-600,-500,12.31326871,41.93744434,A,0.1,D,"Tartara 1999, p. 300",688
1065,,settlement,Republican Period,-500,-30,12.31326871,41.93744434,A,0.1,D,"Tartara 1999, p. 300",688
1066,,settlement,Archaic Period,-600,-500,12.31090048,41.93550884,A,0.5,B,"Tartara 1999, p. 300",689
1067,,settlement,Archaic Period,-600,-500,12.30663672,41.93385482,A,0.5,D,"Tartara 1999, p. 300",690
1067,,settlement,Republican Period,-200,-30,12.30663672,41.93385482,A,0.5,D,"Tartara 1999, p. 300",690
1067,,settlement,Imperial Period,-30,300,12.30663672,41.93385482,A,0.5,D,"Tartara 1999, p. 300",690
1068,Cecanibbio,settlement,Republican Period,-200,-30,12.29864977,41.93544107,A,1.5,D,"Tartara 1999, p. 302",693
1068,Cecanibbio,settlement,Imperial Period,-30,300,12.29864977,41.93544107,A,1.5,D,"Tartara 1999, p. 302",693
1069,La Polledrara,settlement,Republican Period,-200,-30,12.30326164,41.93811156,A,0.5,B,"Tartara 1999, p. 303",696
1070,La Polledrara,settlement,Republican Period,-100,-30,12.3063416,41.93884879,A,1,D,"Tartara 1999, p. 304",697
1070,La Polledrara,settlement,Imperial Period,-30,300,12.3063416,41.93884879,A,1,D,"Tartara 1999, p. 304",697
1071,Casotto,settlement,Republican Period,-300,-100,12.30850999,41.94143114,A,0.1,B,"Tartara 1999, p. 304",698
1072,Casotto,settlement,Archaic Period,-600,-500,12.31202292,41.94238075,A,0.3,D,"Tartara 1999, p. 304",699
1072,Casotto,settlement,Imperial Period,200,500,12.31202292,41.94238075,A,0.3,D,"Tartara 1999, p. 304",699
1073,Casotto,settlement,Archaic Period,-600,-500,12.30510309,41.94161061,A,0.5,D,"Tartara 1999, p. 305",700
1073,Casotto,settlement,Republican Period,-500,-30,12.30510309,41.94161061,A,0.5,D,"Tartara 1999, p. 305",700
1074,Casotto,settlement,Imperial Period,-30,300,12.30671561,41.94524673,A,0.4,D,"Tartara 1999, p. 306",704
1074,Casotto,settlement,Republican Period,-500,-30,12.30671561,41.94524673,A,0.4,D,"Tartara 1999, p. 306",704
1074,Casotto,settlement,Archaic Period,-600,-500,12.30671561,41.94524673,A,0.4,D,"Tartara 1999, p. 306",704
1075,Casotto,settlement,Archaic Period,-600,-500,12.3113262,41.94517169,A,0.2,D,"Tartara 1999, p. 306",706
1075,Casotto,settlement,Imperial Period,-500,-30,12.3113262,41.94517169,A,0.2,D,"Tartara 1999, p. 306",706
1076,,settlement,Archaic Period,-600,-500,12.3120983,41.94952553,A,0.1,D,"Tartara 1999, p. 306",710
1076,,settlement,Republican Period,-500,-30,12.3120983,41.94952553,A,0.1,D,"Tartara 1999, p. 306",710
1076,,settlement,Imperial Period,-30,500,12.3120983,41.94952553,A,0.1,D,"Tartara 1999, p. 306",710
1077,Ovile,settlement,Archaic Period,-600,-500,12.31105284,41.95134546,A,1,D,"Tartara 1999, p. 307",711
1077,Ovile,settlement,Imperial Period,-30,500,12.31105284,41.95134546,A,1,D,"Tartara 1999, p. 307",711
1078,Ovile,settlement,Archaic Period,-600,-500,12.30883171,41.95068527,A,0.3,D,"Tartara 1999, p. 308",712
1078,Ovile,settlement,Imperial Period,-30,500,12.30883171,41.95068527,A,0.3,D,"Tartara 1999, p. 308",712
1079,Ovile,settlement,Archaic Period,-600,-500,12.30829713,41.96295819,A,0.2,B,"Tartara 1999, p. 308",721
1080,,settlement,Archaic Period,-600,-500,12.31229186,41.97046016,A,0.1,D,"Tartara 1999, p. 316",726
1080,,settlement,Republican Period,-200,-30,12.31229186,41.97046016,A,0.1,D,"Tartara 1999, p. 316",726
1081,,settlement,Republican Period,-500,-30,12.31628013,41.97117699,A,0.5,D,"Tartara 1999, p. 316",728
1081,,settlement,Imperial Period,-30,500,12.31628013,41.97117699,A,0.5,D,"Tartara 1999, p. 316",728
1082,Serra di Valle Galeria,settlement,Archaic Period,-600,-500,12.31730456,41.97303373,A,0.2,D,"Tartara 1999, p. 319",730
1082,Serra di Valle Galeria,settlement,Imperial Period,-30,500,12.31730456,41.97303373,A,0.2,D,"Tartara 1999, p. 319",730
1083,,settlement,Archaic Period,-600,-500,12.31491472,41.97334761,A,0.5,D,"Tartara 1999, p. 319",732
1083,,settlement,Imperial Period,-30,500,12.31491472,41.97334761,A,0.5,D,"Tartara 1999, p. 319",732
1084,Monte Procoio,settlement,Archaic Period,-600,-500,12.31151582,41.98336377,A,0.1,D,"Tartara 1999, p. 320",735
1084,Monte Procoio,settlement,Republican Period,-500,-30,12.31151582,41.98336377,A,0.1,D,"Tartara 1999, p. 320",735
1084,Monte Procoio,settlement,Imperial Period,-30,500,12.31151582,41.98336377,A,0.1,D,"Tartara 1999, p. 320",735
1085,Monte Procoio,settlement,Bronze Age,-1700,-1000,12.30907742,41.98969468,A,0.1,D,"Tartara 1999, p. 322",744
1085,Monte Procoio,settlement,Archaic Period,-600,-500,12.30907742,41.98969468,A,0.1,D,"Tartara 1999, p. 322",744
1085,Monte Procoio,settlement,Republican Period,-300,-100,12.30907742,41.98969468,A,0.1,D,"Tartara 1999, p. 322",744
1086,Riserva delle Capanne,settlement,Republican Period,-200,-30,12.32430001,41.99794167,A,1.4,D,"Tartara 1999, p. 327",747
1086,Riserva delle Capanne,settlement,Imperial Period,-30,300,12.32430001,41.99794167,A,1.4,D,"Tartara 1999, p. 327",747
1087,Riserva delle Capanne,settlement,Republican Period,-200,-30,12.32381025,41.99647936,A,0.3,D,"Tartara 1999, p. 327",748
1087,Riserva delle Capanne,settlement,Imperial Period,-30,500,12.32381025,41.99647936,A,0.3,D,"Tartara 1999, p. 327",748
1088,le Tre Vallette,settlement,Archaic Period,-600,-500,12.31783896,41.99575256,A,0.5,D,"Tartara 1999, p. 328",749
1088,le Tre Vallette,settlement,Republican Period,-200,-100,12.31783896,41.99575256,A,0.5,D,"Tartara 1999, p. 328",749
1089,,settlement,Archaic Period,-600,-500,12.3225012,41.9936816,A,0.1,D,"Tartara 1999, p. 328",751
1089,,settlement,Republican Period,-200,-30,12.3225012,41.9936816,A,0.1,D,"Tartara 1999, p. 328",751
1089,,settlement,Imperial Period,-30,500,12.3225012,41.9936816,A,0.1,D,"Tartara 1999, p. 328",751
1090,le Tre Vallette,settlement,Republican Period,-200,-30,12.31803765,41.99318398,A,0.3,D,"Tartara 1999, p. 329",754
1090,le Tre Vallette,settlement,Imperial Period,-30,100,12.31803765,41.99318398,A,0.3,D,"Tartara 1999, p. 329",754
1091,,settlement,Republican Period,-200,-30,12.31780573,41.99139405,A,0.4,D,"Tartara 1999, p. 330",756
1091,,settlement,Imperial Period,-30,300,12.31780573,41.99139405,A,0.5,D,"Tartara 1999, p. 330",756
1092,,settlement,Republican Period,-500,-30,12.31897675,41.99013087,A,0.1,B,"Tartara 1999, p. 330",759
1093,,settlement,Iron Age,-700,-600,12.31934382,41.98780169,A,0.2,D,"Tartara 1999, p. 330",762
1093,,settlement,Archaic Period,-600,-500,12.31934382,41.98780169,A,0.2,D,"Tartara 1999, p. 330",762
1094,,settlement,Archaic Period,-600,-500,12.32109777,41.98688232,A,0.6,D,"Tartara 1999, p. 331",763
1094,,settlement,Republican  Period,-200,-30,12.32109777,41.98688232,A,0.6,D,"Tartara 1999, p. 331",763
1094,,settlement,Imperial Period,-30,300,12.32109777,41.98688232,A,0.6,D,"Tartara 1999, p. 331",763
1095,,settlement,Archaic Period,-600,-500,12.32218463,41.98242081,A,0.4,D,"Tartara 1999, p. 333",766
1095,,settlement,Republican Period,-200,-30,12.32218463,41.98242081,A,0.4,D,"Tartara 1999, p. 333",766
1096,Serra della Sargia,settlement,Republican Period,-100,-30,12.32451449,41.97577326,A,0.2,D,"Tartara 1999, p. 333",769
1096,Serra della Sargia,settlement,Imperial Period,-30,300,12.32451449,41.97577326,A,0.2,D,"Tartara 1999, p. 333",769
1097,Serra della Sargia,settlement,Republican Period,-500,-30,12.32010115,41.97599955,A,0.3,D,"Tartara 1999, p. 333",770
1097,Serra della Sargia,settlement,Imperial Period,-30,500,12.32010115,41.97599955,A,0.3,D,"Tartara 1999, p. 333",770
1098,Serra della Sargia,settlement,Republican Period,-500,-30,12.32186839,41.97510888,A,0.2,D,"Tartara 1999, p. 334",771
1098,Serra della Sargia,settlement,Imperial Period,-30,500,12.32186839,41.97510888,A,0.2,D,"Tartara 1999, p. 334",771
1099,Serra Valle Galeria,settlement,Republican Period,-500,-30,12.32169204,41.97225,A,0.1,D,"Tartara 1999, p. 334",772
1099,Serra Valle Galeria,settlement,Imperial Period,-30,500,12.32169204,41.97225,A,0.1,D,"Tartara 1999, p. 334",772
1100,Serra di Valle Galeria,settlement,Republican Period,-500,-30,12.3241605,41.97060831,A,0.1,D,"Tartara 1999, p. 334",773
1100,Serra di Valle Galeria,settlement,Imperial Period,-30,500,12.3241605,41.97060831,A,0.1,D,"Tartara 1999, p. 334",773
1101,Serra di Valle Galeria,settlement,Archaic Period,-600,-500,12.32544612,41.96703501,A,0.3,D,"Tartara 1999, p. 335",774
1101,Serra di Valle Galeria,settlement,Republican Period,-500,-30,12.32544612,41.96703501,A,0.3,D,"Tartara 1999, p. 335",774
1101,Serra di Valle Galeria,settlement,Imperial Period,100,300,12.32544612,41.96703501,A,0.3,D,"Tartara 1999, p. 335",774
1102,Riserva di Valle Galeria,settlement,Republican Period,-100,-30,12.32337639,41.96696894,A,0.2,D,"Tartara 1999, p. 335",775
1102,Riserva di Valle Galeria,settlement,Imperial Period,-30,300,12.32337639,41.96696894,A,0.2,D,"Tartara 1999, p. 335",775
1103,Riserva di Valle Galeria,settlement,Republican Period,-500,-30,12.31990005,41.96563517,A,0.6,D,"Tartara 1999, p. 336",778
1103,Riserva di Valle Galeria,settlement,Imperial Period,-30,300,12.31990005,41.96563517,A,0.6,D,"Tartara 1999, p. 336",778
1104,Riserva di Valle Galeria,settlement,Archaic Period,-600,-500,12.31886929,41.9675971,A,0.2,B,"Tartara 1999, p. 336",779
1105,Riserva di Valle Galeria,settlement,Republican Period,-500,-30,12.31851473,41.96639545,A,0.3,D,"Tartara 1999, p. 336",780
1105,Riserva di Valle Galeria,settlement,Imperial Period,-30,300,12.31851473,41.96639545,A,0.3,D,"Tartara 1999, p. 336",780
1106,,settlement,Archaic Period,-600,-500,12.31437592,41.96709643,A,0.2,D,"Tartara 1999, p. 337",781
1107,Riserva di Valle Galeria,settlement,Archaic Period,-600,-500,12.31656403,41.96525301,A,0.1,D,"Tartara 1999, p. 337",782
1107,Riserva di Valle Galeria,settlement,Republican Period,-500,-30,12.31656403,41.96525301,A,0.1,D,"Tartara 1999, p. 337",782
1107,Riserva di Valle Galeria,settlement,Imperial Period,-30,500,12.31656403,41.96525301,A,0.1,D,"Tartara 1999, p. 337",782
1108,Riserva di Valle Galeria,settlement,Archaic Period,-600,-500,12.32494179,41.96396115,A,0.1,D,"Tartara 1999, p. 337",785
1108,Riserva di Valle Galeria,settlement,Republican Period,-200,-30,12.32494179,41.96396115,A,0.1,D,"Tartara 1999, p. 337",785
1108,Riserva di Valle Galeria,settlement,Imperial Period,-30,300,12.32494179,41.96396115,A,0.1,D,"Tartara 1999, p. 337",785
1109,Riserva di Valle Galeria,settlement,Republican Period,-200,-30,12.32429521,41.96209477,A,0.1,D,"Tartara 1999, p. 337",786
1109,Riserva di Valle Galeria,settlement,Imperial Period,-30,300,12.32429521,41.96209477,A,0.1,D,"Tartara 1999, p. 337",786
1110,Riserva delle Sette Rubbia,settlement,Archaic Period,-600,-500,12.31808771,41.96082492,A,0.6,D,"Tartara 1999, p. 338",789
1110,Riserva delle Sette Rubbia,settlement,Republican Period,-200,-30,12.31808771,41.96082492,A,0.6,D,"Tartara 1999, p. 338",789
1110,Riserva delle Sette Rubbia,settlement,Imperial Period,-30,300,12.31808771,41.96082492,A,0.6,D,"Tartara 1999, p. 338",789
1111,Monte di Bocca,settlement,Republican Period,-500,-30,12.31493521,41.96010295,A,0.6,D,"Tartara 1999, p. 339",790
1111,Monte di Bocca,settlement,Imperial Period,-30,500,12.31493521,41.96010295,A,0.6,D,"Tartara 1999, p. 339",790
1112,Riserva delle Sette Rubbia,settlement,Republican Period,-200,-30,12.32244998,41.95834756,A,0.1,D,"Tartara 1999, p. 340",792
1112,Riserva delle Sette Rubbia,settlement,Imperial Period,-30,300,12.32244998,41.95834756,A,0.1,D,"Tartara 1999, p. 340",792
1113,Riserva delle Sette Rubbia,settlement,Republican Period,-200,-30,12.32530643,41.95671352,A,0.8,D,"Tartara 1999, p. 341",795
1113,Riserva delle Sette Rubbia,settlement,Imperial Period,-30,300,12.32530643,41.95671352,A,0.8,D,"Tartara 1999, p. 341",795
1114,Riserva delle Sette Rubbia,settlement,Republican Period,-200,-30,12.32406453,41.95526861,A,0.1,D,"Tartara 1999, p. 342",797
1115,Riserva dell'Olmo,settlement,Imperial Period,-30,500,12.32052988,41.95684966,A,0.1,B,"Tartara 1999, p. 343",799
1116,,settlement,Archaic Period,-600,-500,12.31773687,41.95576525,A,0.1,B,"Tartara 1999, p. 343",800
1117,,settlement,Archaic Period,-600,-500,12.31477346,41.95625382,A,0.6,B,"Tartara 1999, p. 343",801
1118,Riserva dell'Olmo,settlement,Republican Period,-500,-30,12.31602344,41.95562743,A,0.2,D,"Tartara 1999, p. 344",803
1118,Riserva dell'Olmo,settlement,Imperial Period,-30,300,12.31602344,41.95562743,A,0.2,D,"Tartara 1999, p. 344",803
1119,,settlement,Archaic Period,-600,-500,12.31478,41.95241837,A,0.3,D,"Tartara 1999, p. 345",806
1119,,settlement,Republican Period,-100,-30,12.31478,41.95241837,A,0.3,D,"Tartara 1999, p. 345",806
1119,,settlement,Imperial Period,-30,300,12.31478,41.95241837,A,0.3,D,"Tartara 1999, p. 345",806
1120,Riserva dell'Olmo,settlement,Archaic Period,-600,-500,12.31642314,41.95231271,A,0.1,D,"Tartara 1999, p. 345",808
1120,Riserva dell'Olmo,settlement,Republican Period,-500,-30,12.31642314,41.95231271,A,0.1,D,"Tartara 1999, p. 345",808
1121,Riserva delle Sette Rubbia,settlement,Imperial Period,-30,500,12.32136789,41.95501721,A,0.1,B,"Tartara 1999, p. 345",809
1122,Riserva dell'Olmo,settlement,Archaic Period,-600,-500,12.32223153,41.95099056,A,0.1,D,"Tartara 1999, p. 345",811
1122,Riserva dell'Olmo,settlement,Imperial Period,-30,500,12.32223153,41.95099056,A,0.1,D,"Tartara 1999, p. 345",811
1123,Riserva dell'Olmo,settlement,Archaic Period,-600,-500,12.3244353,41.94839294,A,0.6,D,"Tartara 1999, p. 346",814
1123,Riserva dell'Olmo,settlement,Republican Period,-200,-30,12.3244353,41.94839294,A,0.6,D,"Tartara 1999, p. 346",814
1123,Riserva dell'Olmo,settlement,Imperial Period,-30,300,12.3244353,41.94839294,A,0.6,D,"Tartara 1999, p. 346",814
1124,,settlement,Archaic Period,-600,-500,12.32028368,41.94323403,A,0.1,D,"Tartara 1999, p. 346",815
1124,,settlement,Imperial Period,200,500,12.32028368,41.94323403,A,0.1,D,"Tartara 1999, p. 346",815
1125,,settlement,Republican Period,-100,-30,12.32458969,41.9422239,A,0.1,D,"Tartara 1999, p. 346",816
1125,,settlement,Imperial Period,-30,500,12.32458969,41.9422239,A,0.1,D,"Tartara 1999, p. 346",816
1126,,settlement,Republican Period,-200,-30,12.326053,41.93669196,A,0.7,D,"Tartara 1999, p. 346",817
1126,,settlement,Imperial Period,-30,300,12.326053,41.93669196,A,0.7,D,"Tartara 1999, p. 346",817
821,Torre Pascolaro,settlement,Bronze Age,-1200,-1000,12.21726036,41.9861862,A,0.5,D,"Tartara 1999, p. 61",31
1127,,settlement,Bronze Age,-1200,-1000,12.21765128,41.98125304,A,0.3,D,"Tartara 1999, p. 69",52
1127,,settlement,Archaic Period,-600,-500,12.21765128,41.98125304,A,0.3,D,"Tartara 1999, p. 69",52
858,le Grotte,settlement,Bronze Age,-2300,-1000,12.222884,41.99705534,A,1,D,"Tartara 1999, p. 108",118
860,Quarto della Caduta,settlement,Bronze Age,-2300,-1000,12.22872487,41.99697181,A,0.3,D,"Tartara 1999, p. 115",125
863,Quarto della Caduta,settlement,Bronze Age,-1700,-1300,12.23594146,41.99221349,A,0.3,D,"Tartara 1999, p. 123",141
1128,,settlement,Bronze Age,-2300,-1000,12.22434719,41.9654966,A,0.3,D,"Tartara 1999, p. 141",198
1128,,settlement,Republican Period,-500,-30,12.22434719,41.9654966,A,0.3,D,"Tartara 1999, p. 141",198
1128,,settlement,Imperial Period,-30,500,12.22434719,41.9654966,A,0.3,D,"Tartara 1999, p. 141",198
1129,Castel Lombardo,settlement,Bronze Age,-1700,-1300,12.22153949,41.95930555,A,0.1,B,"Tartara 1999, p. 150",220
952,Quarto di Tragliata,settlement,Bronze Age,-2300,-1000,12.25522486,41.95444325,A,0.1,B,"Tartara 1999, p. 211",394
1130,Quarto Lungo,settlement,Bronze Age,-2300,-1000,12.26411667,41.96558168,A,1,D,"Tartara 1999, p. 233",455
1130,Quarto Lungo,settlement,Archaic Period,-600,-500,12.26411667,41.96558168,A,1,D,"Tartara 1999, p. 233",455
1130,Quarto Lungo,settlement,Republican Period,-500,-30,12.26411667,41.96558168,A,1,D,"Tartara 1999, p. 233",455
1130,Quarto Lungo,settlement,Imperial Period,-30,300,12.26411667,41.96558168,A,1,D,"Tartara 1999, p. 233",455
991,Colonnacce di sopra,settlement,Bronze Age,-2300,-1000,12.27055473,41.95385761,A,0.2,D,"Tartara 1999, p. 252",517
995,Vitellara,settlement,Bronze Age,-2300,-1000,12.27475153,41.93444364,A,0.2,B,"Tartara 1999, p. 253",527a
1005,C.le Malvicino,settlement,Bronze Age,-2300,-1000,12.28457971,41.98382875,A,0.5,D,"Tartara 1999, p. 261",564
1081,,settlement,Bronze Age,-2300,-1000,12.31628013,41.97117699,A,0.5,D,"Tartara 1999, p. 316",728
1131,,settlement,Bronze Age,-2300,-1000,12.31787892,41.97233162,A,0.1,B,"Tartara 1999, p. 319",729
820,,settlement,Iron Age,-700,-600,12.21801891,41.98899981,A,0.1,B,"Tartara 1999, p. 58",28
1127,,settlement,Iron Age,-700,-600,12.21765128,41.98125304,A,0.3,D,"Tartara 1999, p. 69",52
860,Quarto della Caduta,settlement,Iron Age,-700,-600,12.22872487,41.99697181,A,0.3,D,"Tartara 1999, p. 115",125
1132,Quarto della CadutaL,settlement,Iron Age,-700,-600,12.23792313,41.99365613,A,0.2,B,"Tartara 1999, p. 123",144
